team_id,team_name,coach,total_actual,total_best,total_delta,avg_delta
3347033,ManesKean,Paola,2478.5,2661,182.5,5.21
10972609,Scarsenal,Pif1984,2460,2668,208,5.94
17071673,BRRR BRRR BODO GLIMT,Samuel,2513.5,2730,216.5,6.19
3346647,Spiazenza FC,Gianluca,2470,2697,227,6.49
3347119,Borussia Episodi,Gabryamaranto97,2529.5,2758,228.5,6.53
6976879,Tax The Rich,Lo Smilzo,2473.5,2723,249.5,7.13
4522508,Vardy Is On Fire,Pathouse,2449,2699,250,7.14
8831890,AC Spreadsheet,lorenzorossi88,2515.5,2863.5,348,9.94
