giornata,team_id,team_name,coach,points_giornata,goals_giornata,points_cumulative,goals_cumulative,rank_giornata,rank_cumulative
1,3346647,Spiazenza,Gianluca,0,0,0,0,1,1
1,3347033,ManesKean,Paola,0,0,0,0,2,2
1,3347119,Dinamo Last Minute,Gabryamaranto97,0,0,0,0,3,3
1,4522508,Il Diavolo Veste Pata,Pathouse,0,0,0,0,4,4
1,6976879,Tax The Rich,Lo Smilzo,0,0,0,0,5,5
1,8831890,Overfitting FC,lorenzorossi88,0,0,0,0,6,6
1,10972609,Scarsenal,Pif1984,0,0,0,0,7,7
1,17071673,BRRR BRRR BODO GLIMT,Samuel,0,0,0,0,8,8
